studentid,semesterid,gradenum,groupnum,specname,facultyabbr,disciplineid,ExamType,SemesterRate,BonusRate,ExamRate
1,1,1,1,Прикладная математика и информатика,ИММиКН,11,credit,32,0,0
1,1,1,1,Прикладная математика и информатика,ИММиКН,31,credit,77,0,0
1,1,1,1,Прикладная математика и информатика,ИММиКН,49,exam,39,0,0
1,1,1,1,Прикладная математика и информатика,ИММиКН,52,exam,39,0,22
1,1,1,1,Прикладная математика и информатика,ИММиКН,53,credit,60,0,0
1,1,1,1,Прикладная математика и информатика,ИММиКН,163,exam,39,2,22
1,2,1,1,Прикладная математика и информатика,ИММиКН,65,credit,0,0,0
1,2,1,1,Прикладная математика и информатика,ИММиКН,424,credit,60,0,0
1,2,1,1,Прикладная математика и информатика,ИММиКН,491,exam,38,0,23
1,2,1,1,Прикладная математика и информатика,ИММиКН,524,credit,21,0,0
1,2,1,1,Прикладная математика и информатика,ИММиКН,569,credit,60,0,0
1,2,1,1,Прикладная математика и информатика,ИММиКН,579,exam,39,0,22
1,2,1,1,Прикладная математика и информатика,ИММиКН,668,credit,0,0,0
1,2,1,1,Прикладная математика и информатика,ИММиКН,694,exam,38,0,22
1,2,1,1,Прикладная математика и информатика,ИММиКН,700,credit,60,0,0
1,2,1,1,Прикладная математика и информатика,ИММиКН,802,credit,0,0,0
1,3,2,1,Прикладная математика и информатика,ИММиКН,1009,credit,60,0,0
1,3,2,1,Прикладная математика и информатика,ИММиКН,1054,exam,38,2,25
1,3,2,1,Прикладная математика и информатика,ИММиКН,1058,credit,0,0,0
1,3,2,1,Прикладная математика и информатика,ИММиКН,1154,credit,0,0,0
1,3,2,1,Прикладная математика и информатика,ИММиКН,1176,exam,38,0,22
1,3,2,1,Прикладная математика и информатика,ИММиКН,1200,credit,60,0,0
1,3,2,1,Прикладная математика и информатика,ИММиКН,1204,credit,36,0,0
1,3,2,1,Прикладная математика и информатика,ИММиКН,1233,exam,40,0,32
1,3,2,1,Прикладная математика и информатика,ИММиКН,1253,credit,63,0,0
1,4,2,1,Прикладная математика и информатика,ИММиКН,1475,credit,60,0,0
1,4,2,1,Прикладная математика и информатика,ИММиКН,1486,exam,38,0,22
1,4,2,1,Прикладная математика и информатика,ИММиКН,1506,credit,60,0,0
1,4,2,1,Прикладная математика и информатика,ИММиКН,1514,credit,60,0,0
1,4,2,1,Прикладная математика и информатика,ИММиКН,1631,credit,70,0,0
1,4,2,1,Прикладная математика и информатика,ИММиКН,1651,exam,38,0,25
1,4,2,1,Прикладная математика и информатика,ИММиКН,1686,credit,60,0,0
1,4,2,1,Прикладная математика и информатика,ИММиКН,1725,credit,0,0,0
1,4,2,1,Прикладная математика и информатика,ИММиКН,1728,exam,38,0,22
1,4,2,1,Прикладная математика и информатика,ИММиКН,1816,credit,60,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,1923,exam,38,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,1926,credit,60,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,1930,credit,60,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,2053,credit,0,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,2063,exam,38,0,22
1,5,3,3,Прикладная математика и информатика,ИММиКН,2103,credit,60,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,2123,credit,65,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,2137,credit,0,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,2156,credit,36,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,2197,credit,0,0,0
1,5,3,3,Прикладная математика и информатика,ИММиКН,2235,exam,38,0,22
1,6,3,3,Прикладная математика и информатика,ИММиКН,2346,credit,12,0,0
1,6,3,3,Прикладная математика и информатика,ИММиКН,2365,exam,17,0,0
1,6,3,3,Прикладная математика и информатика,ИММиКН,2366,exam,0,0,0
1,6,3,3,Прикладная математика и информатика,ИММиКН,2388,credit,27,0,0
2,1,1,1,Прикладная математика и информатика,ИММиКН,11,credit,52,4,0
2,1,1,1,Прикладная математика и информатика,ИММиКН,31,credit,60,0,0
2,1,1,1,Прикладная математика и информатика,ИММиКН,49,exam,38,0,0
2,1,1,1,Прикладная математика и информатика,ИММиКН,52,exam,38,0,0
2,1,1,1,Прикладная математика и информатика,ИММиКН,163,exam,38,1,0
2,2,1,1,Прикладная математика и информатика,ИММиКН,65,credit,0,0,0
2,2,1,1,Прикладная математика и информатика,ИММиКН,424,credit,15,2,0
2,2,1,1,Прикладная математика и информатика,ИММиКН,491,exam,13,0,0
2,2,1,1,Прикладная математика и информатика,ИММиКН,569,credit,0,0,0
2,2,1,1,Прикладная математика и информатика,ИММиКН,579,exam,38,0,0
2,2,1,1,Прикладная математика и информатика,ИММиКН,668,credit,0,0,0
2,2,1,1,Прикладная математика и информатика,ИММиКН,694,exam,0,0,0
2,2,1,1,Прикладная математика и информатика,ИММиКН,700,credit,4,0,0
2,2,1,1,Прикладная математика и информатика,ИММиКН,802,credit,0,0,0
2,3,1,1,Прикладная математика и информатика,ИММиКН,889,credit,0,0,0
2,3,1,1,Прикладная математика и информатика,ИММиКН,974,exam,0,0,0
2,3,1,1,Прикладная математика и информатика,ИММиКН,1002,exam,0,0,0
2,3,1,1,Прикладная математика и информатика,ИММиКН,1025,credit,0,0,0
2,3,1,1,Прикладная математика и информатика,ИММиКН,1117,exam,0,0,0
2,3,1,1,Прикладная математика и информатика,ИММиКН,1136,credit,0,0,0
2,3,1,1,Прикладная математика и информатика,ИММиКН,1203,credit,0,0,0
2,3,1,1,Прикладная математика и информатика,ИММиКН,1300,credit,0,0,0
3,1,1,1,Прикладная математика и информатика,ИММиКН,11,credit,44,2,0
3,1,1,1,Прикладная математика и информатика,ИММиКН,31,credit,63,0,0
3,1,1,1,Прикладная математика и информатика,ИММиКН,49,exam,25,0,0
3,1,1,1,Прикладная математика и информатика,ИММиКН,52,exam,38,0,0
3,1,1,1,Прикладная математика и информатика,ИММиКН,163,exam,26,0,0
3,2,1,1,Прикладная математика и информатика,ИММиКН,65,credit,0,0,0
3,2,1,1,Прикладная математика и информатика,ИММиКН,424,credit,11,0,0
3,2,1,1,Прикладная математика и информатика,ИММиКН,491,exam,7,0,0
3,2,1,1,Прикладная математика и информатика,ИММиКН,569,credit,0,0,0
3,2,1,1,Прикладная математика и информатика,ИММиКН,579,exam,23,0,0
3,2,1,1,Прикладная математика и информатика,ИММиКН,668,credit,7,0,0
3,2,1,1,Прикладная математика и информатика,ИММиКН,694,exam,6,0,0
3,2,1,1,Прикладная математика и информатика,ИММиКН,700,credit,6,0,0
3,2,1,1,Прикладная математика и информатика,ИММиКН,802,credit,0,0,0
3,3,1,1,Прикладная математика и информатика,ИММиКН,889,credit,14,0,0
3,3,1,1,Прикладная математика и информатика,ИММиКН,974,exam,38,0,22
3,3,1,1,Прикладная математика и информатика,ИММиКН,1002,exam,38,0,22
3,3,1,1,Прикладная математика и информатика,ИММиКН,1025,credit,0,0,0
3,3,1,1,Прикладная математика и информатика,ИММиКН,1117,exam,39,0,22
3,3,1,1,Прикладная математика и информатика,ИММиКН,1136,credit,0,0,0
3,3,1,1,Прикладная математика и информатика,ИММиКН,1203,credit,0,0,0
3,3,1,1,Прикладная математика и информатика,ИММиКН,1300,credit,0,0,0
3,4,1,1,Прикладная математика и информатика,ИММиКН,1401,credit,62,0,0
3,4,1,1,Прикладная математика и информатика,ИММиКН,1438,exam,47,0,37
3,4,1,1,Прикладная математика и информатика,ИММиКН,1491,exam,38,0,22
3,4,1,1,Прикладная математика и информатика,ИММиКН,1527,credit,60,0,0
3,4,1,1,Прикладная математика и информатика,ИММиКН,1544,exam,38,0,22
3,4,1,1,Прикладная математика и информатика,ИММиКН,1685,credit,60,0,0
3,4,1,1,Прикладная математика и информатика,ИММиКН,1688,credit,60,0,0
3,5,2,1,Прикладная математика и информатика,ИММиКН,1836,exam,0,0,0
3,5,2,1,Прикладная математика и информатика,ИММиКН,1871,exam,0,0,0
