ID,Name,Abbr
1,Математическая логика и теория множеств,Мат. логика и ТМ
2,Математический анализ,Мат. Анализ
3,Алгебра и геометрия,Алг. и геом.
4,Дискретная математика,Дискр. матем.
5,История,История
6,Теоретическая и практическая механика,Теор. и практ. мех.
7,Консультация,Консультация
8,Практикум на ЭВМ,Практ. ЭВМ
9,Иностранный язык,Иностр. язык
10,Теория и технология программирования,ТиТП
11,Основы программирования,Основы прог-ния
12,Немецкий язык,Немецкий язык
13,Физвоспитание,Физвоспитание
14,Алгебра,Алгебра
15,Основы информатики,Осн. инф.
16,Русский язык,Русский язык
17,Самостоятельная работа,Самост. работа
18,Культура здоровья,Культура здоровья
19,Аналитическая геометрия,Аналит. геом.
20,Спецподготовка,Спецподготовка
21,Физика,Физика
22,Введение в ООП,Введение в ООП
23,Дифференциальные уравнения,Дифф. уравн.
24,Философия,Философия
25,Математические основы защиты информации,МОЗИ
26,Языки программирования,ЯП
27,Дифференциальная геометрия и топология,Дифф. геом. и тополо
28,Математическая логика,Мат. логика
29,Компьютерные науки,Комп. науки
30,Теоретическая физика,Теор. физика
31,Численные методы,Численные методы
32,Векторный анализ и теория поля,Вект. анализ и теори
33,Механика сплошной среды,МСС
34,Теория вероятности и математическая статистика,ТВ и МС
35,Уравнения математической физики,УМФ
36,Избранные главы математического анализа,Избр. главы мат. ана
37,Операционные системы,ОС
38,Компьютерные сети,Комп. сети
39,Функциональный анализ,Функц. анализ
40,Плоские и пространственные задачи теории упругости,С/к
41,Курс по выбору,Курс по выбору
42,Ряды Фурье,Ряды Фурье
43,Физико-механический практикум,Физ.-мех. практ
44,Комплексный анализ,Компл. анализ
45,Паттерны проектирования приложений,Паттерны прогр-ния п
46,Вариационное исчисление и методы оптимизации,Вар.исчисл. и методы
47,Технологии БД,Техн. БД
48,Механическая математика,Мех. матем.
49,Пакет прикладных программ,ППП
50,Алгоритмы на графах,Алг. на графах
51,Теоретическая механика,Теор. мех.
52,Инновационный менеджмент,Инновационный менедж
53,Базы данных,БД
54,Теория автоматов и функциональных языков,Теория автоматов и Ф
55,История религии,История религии
56,Правоведение,Правоведение
57,БЖД,БЖД
58,Параллельное программирование,Параллельное прог-ни
59,Вычислительная механика,Выч. механика
60,Математические модели естественных наук,Мат. модели естеств.
61,Компьютерная графика,Комп. графика
62,Интеллектуальные системы,ИС
63,Устойчивость и упр. движение,Устойчивость и упр. 
64,Дополнительные главы алгебры,Доп. главы алгебры
65,Программная инженерия,Программная инженери
66,Курс по выбору 1,Курс по выбору 1
67,Курс по выбору 2,Курс по выбору 2
68,Эксп. методы в МСС,Эксп. методы в МСС
69,Разработка компиляторов,Разработка компилято
70,Функциональное программирование,Функц-е прогр-е
71,Методы оптимизации общения,Методы опт. общения
72,Теория чисел,Теория чисел
73,КСЕ,КСЕ
74,Экс.методы,Экс.методы
75,Факультатив,Факультатив
76,Вычислительные системы и микропрограммирование,ВСи микропрогр-е
77,Введение в наномеханику,Введение в наномехан
